"Type de contrôle","Modalité de contrôle","Organismes","Département","Lieu","Secteur d'activité"
"LOI 78","sur place","FOYER DE CACHAN","94","CACHAN","Education/culture/sport"
"LOI 78","sur place","BANQUE POPULAIRE ALSACE LORRAINE CHAMPAGNE","57","METZ","Banques"
"LOI 78","sur place","PRIMAIRES PARTI SOCIALISTE
(prestataire PAPREC)","94","VILLENEUVE-LE-ROI","Politique"
"LOI 78","sur pièces","PRIMAIRES PARTI SOCIALISTE","75","PARIS","Politique"
"LOI 78","sur place","CEWE","92","ASNIERES-SUR-SEINE","Commerce"
"LOI 78","sur place","GROUPE PRENANT","91","LISSES","Commerce"
"LOI 78","sur place","SANTE PUBLIQUE FRANCE","94","SAINT-MAURICE","Santé/social"
"LOI 78","sur place","LA REDOUTE","59","ROUBAIX","Commerce"
"LOI 78","sur place","SENDINBLUE","75","PARIS","Commerce"
"LOI 78","sur audition","NO EGGS","75","PARIS","Commerce"
"LOI 78","sur place","CADEAUX NAISSANCE","92","COLOMBES","Commerce"
"LOI 78","sur place","COMMUNE DE BERNAY","21","BERNAY","Collectivités locales"
"LOI 78","sur place","CROIX ROUGE FRANCAISE","75","PARIS","Santé/social"
"LOI 78","sur place","ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL","80","CHAULNES","Commerce"
"LOI 78","sur place","GROUPE ATOS","95","BEZONS","Commerce"
"LOI 78","sur place","CAISSE PRIMAIRE D'ASSURANCE MALADIE (CPAM) DE LA MANCHE","50","SAINT-LO","Santé/social"
"LOI 78","sur pièces","MY FRIEND CAYLA (société TOYQUEST LIMITED)","75","PARIS","Commerce"
"LOI 78","sur place","MINISTERE DE L'INTERIEUR -
SERVICE DE L'ASILE
 (DGEF)","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","MINISTERE DE L'INTERIEUR -
 SERVICE DE L'ASILE
 (DGEF)","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","WEB EDITIONS","75","PARIS","Commerce"
"LOI 78","sur place","PROSERVIA","44","CARQUEFOU","Commerce"
"LOI 78","sur place","TRANSOPCO FRANCE ","75","PARIS","Commerce"
"LOI 78","sur place","VOXTUR","75","PARIS","Commerce"
"LOI 78","sur place","CONSEIL DEPARTEMENTAL DE GIRONDE","33","BORDEAUX","Collectivités locales"
"LOI 78","sur place","LABORATOIRES STANDA","14","CAEN","Commerce"
"LOI 78","sur place","CODECHAMP","23","CHAMPAGNAT","Commerce"
"LOI 78","sur place","THOM ET THOM EUROPE ","75","PARIS","Commerce"
"LOI 78","sur place","GROUPE BRANDT","92","RUEIL-MALMAISON","Commerce"
"LOI 78","sur place","COMETE INFORMATIQUE","35","BRUZ","Commerce"
"LOI 78","sur place","MYBESTPRO (le domaine ""wengo.fr"")","75","PARIS","Commerce"
"LOI 78","sur place","TRAITEMENTS DARTY","93","BAGNOLET","Commerce"
"LOI 78","sur place"," CONRAD","59","LOMME","Commerce"
"LOI 78","sur place","CONFORAMA","77","LOGNES","Commerce"
"LOI 78","sur place","INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE","31","TOULOUSE","Education/culture/sport"
"LOI 78","sur place","INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE","31","TOULOUSE","Education/culture/sport"
"LOI 78","sur place","CHAMBRE DE COMMERCE ET D'INDUSTRIE DES DEUX-SEVRES","79","NIORT","Commerce"
"LOI 78","sur place","COMMISSARIAT DE POLICE DE MULHOUSE","68","MULHOUSE","Police/justice/sécurité"
"LOI 78","sur place","PRESTALEADS","75","PARIS","Commerce"
"LOI 78","sur place","BANQUE POPULAIRE RIVES DE PARIS","75","PARIS","Banques"
"LOI 78","sur place","VU LOG","6","NICE ","Transport"
"LOI 78","sur place","VENAP","6","NICE ","Commerce"
"LOI 78","sur place","CAISSE PRIMAIRE D'ASSURANCE MALADIE DE SAONE ET LOIRE (CPAM)","71","MACON","Santé/social"
"LOI 78","sur place","DIRECTION ZONALE DE POLICE AUX FRONTIERES","69","LYON","Police/justice/sécurité"
"LOI 78","sur place","SNCF","69","LYON","Police/justice/sécurité"
"LOI 78","sur place","LOTOMATE","75","PARIS","Commerce"
"LOI 78","sur place","MICROMANIA GROUP","6","VALBONNE","Commerce"
"LOI 78","sur place","PHARMACIE INTERNATIONALE SOUSSAN","6","BEAULIEU-SUR-MER","Santé/social"
"LOI 78","sur place","PUMPKIN SAS","59","LILLE","Commerce"
"LOI 78","sur place","CLIC AND WALK","59","ROUBAIX","Commerce"
"LOI 78","sur place","ETABLISSEMENTS DARTY & FILS","93","BAGNOLET","Commerce"
"LOI 78","sur place","ETABLISSEMENTS DARTY & FILS","93","BAGNOLET","Commerce"
"LOI 78","sur place","SOCIETE REHALTO","92","LA GARENNE-COLOMBES","Santé/social"
"LOI 78","sur place","SOCIETE REHALTO","92","LA GARENNE-COLOMBES","Santé/social"
"LOI 78","sur place","FNAC ET FNAC DIRECT","94","IVRY-SUR-SEINE","Commerce"
"LOI 78","sur place","FNAC ET FNAC DIRECT","94","IVRY-SUR-SEINE","Commerce"
"LOI 78","sur place","BRASSERIE BAVARIA","78","MAREIL-MARLY","Commerce"
"LOI 78","sur place","SOCIETES LENOVA & BLUE RADAR","79","NIORT","Commerce"
"LOI 78","sur place","BRICOMAN","75","PARIS","Commerce"
"LOI 78","sur place","KELDOC","75","PARIS","Santé/social"
"LOI 78","sur place","SIAO 38 (SERVICE INTEGRE D'ACCUEIL ET D'ORIENTATION)","38","ECHIROLLES","Santé/social"
"LOI 78","sur place","PRECIS MECANIC","38","SASSENAGE","Commerce"
"LOI 78","sur place","FILAE ","75","PARIS","Collectivités locales"
"LOI 78","sur place","TGI DE PARIS -
 BUREAU DE L'AIDE JURIDICTIONNELLE","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","TGI D'AVIGNON -
 BUREAU DE L'AIDE JURIDICTIONNELLE","84","AVIGNON","Police/justice/sécurité"
"LOI 78","sur place","TGI DE TARASCON -
 BUREAU DE L'AIDE JURIDICTIONNELLE","13","TARASCON","Police/justice/sécurité"
"LOI 78","sur place","TGI DE MULHOUSE -
  BUREAU DE L'AIDE JURIDICTIONNELLE","68","MULHOUSE","Police/justice/sécurité"
"LOI 78","sur pièces","ORDRE DES AVOCATS AU BARREAU DE MULHOUSE - ","68","MULHOUSE","Police/justice/sécurité"
"LOI 78","sur place","FRICHTI SAS","92","NEUILLY-SUR-SEINE","Commerce"
"LOI 78","sur place","BVA ","92","BOULOGNE-BILLANCOURT","Commerce"
"LOI 78","sur place","DELIVEROO FRANCE ","75","PARIS","Commerce"
"LOI 78","sur place","DELIVEROO FRANCE ","75","PARIS","Commerce"
"LOI 78","sur place","DATABERRIES","75","PARIS","Commerce"
"LOI 78","sur place","COMMUNE DU 18ème ARRONDISSEMENT DE PARIS","75","PARIS","Santé/social"
"LOI 78","sur place","FOODORA FRANCE ","75","PARIS","Commerce"
"LOI 78","sur place","FOODORA FRANCE ","75","PARIS","Commerce"
"LOI 78","sur place","ADP GSI FRANCE ","92","NANTERRE","Santé/social"
"LOI 78","sur place","OB INTERACTIVE","75","PARIS","Commerce"
"LOI 78","sur place","GROUPE AG2R LA MONDIALE","75","PARIS","Commerce"
"LOI 78","sur place","GROUPE AG2R LA MONDIALE","92","LEVALLOIS-PERRET","Commerce"
"LOI 78","sur place","COMMUNE DE BOULOGNE-BILLANCOURT","92","BOULOGNE-BILLANCOURT","Santé/social"
"LOI 78","sur place","LEPETITJOURNAL.COM SARL ","75","PARIS","Commerce"
"LOI 78","sur place","MINISTERE DE LA JUSTICE - BUREAU DE LA NATIONALITE (DACS)","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","MAIRIE DU 1ER ARRONDISSEMENT DE PARIS","75","PARIS","Santé/social"
"LOI 78","sur place","NETATMO","92","BOULOGNE-BILLANCOURT","Commerce"
"LOI 78","sur place","LYDIA SOLUTIONS SAS","75","PARIS","Commerce"
"LOI 78","sur place","MOBEYE","75","PARIS","Commerce"
"LOI 78","sur place","BEMYEYE FRANCE ","75","PARIS","Economie"
"LOI 78","sur audition","moncontrôletechniqueauto.fr","75","PARIS","Commerce"
"LOI 78","sur place","COMMUNE DE MONTREUIL","93","MONTREUIL","Santé/social"
"LOI 78","sur place","DSA","91","MASSY","Commerce"
"LOI 78","sur place","AIR FRANCE","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","IUT DE SCEAUX","92","SCEAUX","Education/culture/sport"
"LOI 78","sur place","BOSE","78","SAINT-GERMAIN-EN-LAYE","Commerce"
"LOI 78","sur place","LYCEE POLYVALENT DIDEROT","75","PARIS","Education/culture/sport"
"LOI 78","sur place","PREFECTURE DE LOIRE ATLANTIQUE","44","NANTES","Collectivités locales"
"LOI 78","sur place","ARCHIVES DEPARTEMENTALES DE L'ISERE","38","GRENOBLE","Collectivités locales"
"LOI 78","sur place","OSCARO.COM","75","PARIS","Commerce"
"LOI 78","sur place","MISSION LOCALE ISERE RHODANIENNE","38","VIENNE","Santé/social"
"LOI 78","sur pièces","FRANCE TELEVISIONS ","75","PARIS","Commerce"
"LOI 78","sur place","ECODAIR","75","PARIS","Commerce"
"LOI 78","sur place","INFORMATIQUE BANQUES POPULAIRES","78","MONTIGNY-LE-BRETONNEUX","Banques"
"LOI 78","sur place","TREND-CORNER.COM","93","BAGNOLET","Commerce"
"LOI 78","sur place","LEGISLATIVES-CITOYENNES.FR","75","PARIS","Education/culture/sport"
"LOI 78","sur place","AIGLE AZUR","93","TREMBLAY EN France","Transport"
"LOI 78","sur place","CHINA SOUTHERN AIRLINES LIMITED","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","FDSEA51.FR","51","REIMS","Commerce"
"LOI 78","sur place","ADEF","94","IVRY-SUR-SEINE","Immobilier"
"LOI 78","sur place","IMPRIMERIE DE COMPIEGNE","60","COMPIEGNE","Commerce"
"LOI 78","sur place","DIRECTION DEPARTEMENTALE DE LA COHESION SOCIALE DE L'ISERE","38","GRENOBLE","Santé/social"
"LOI 78","sur place","XL AIRWAYS FRANCE ","93","TREMBLAY EN FRANCE ","Transport"
"LOI 78","sur place","BIBLIOTHEQUE RAOUL MILLE","6","NICE ","Education/culture/sport"
"LOI 78","sur place","COCOLIS","75","PARIS","Commerce"
"LOI 78","sur place","PRO.ARCHIVES SYSTEMES","51","REIMS","Commerce"
"LOI 78","sur place","SOLUCIA PROTECTION JURIDIQUE","75","PARIS","Assurances"
"LOI 78","sur place","TRANSAVIA FRANCE ","91","PARAY-VIEILLE-POSTE","Transport"
"LOI 78","sur place","ASSOCIATION DEPARTEMENTALE D'AIDE AUX VICTIMES ET DE MEDIATION DES LANDES
 (ADAVEM JP 40)","40","MONT-DE-MARSAN","Santé/social"
"LOI 78","sur place","SOCIETE DOMIAL","68","COLMAR","Commerce"
"LOI 78","sur place","DOMIAL","68","COLMAR","Immobilier"
"LOI 78","sur place","E. MESSAGE WIRELESS INFORMATION SERVICES FRANCE","78","LE CHENAY","Police/justice/sécurité"
"LOI 78","sur place","MAAF (AGENCE)","69","LYON","Assurances"
"LOI 78","sur place","MAAF (AGENCE)","69","LYON","Assurances"
"LOI 78","sur place","AISH","38","SAINT-MARTIN-LE-VINOUX","Commerce"
"LOI 78","sur place","COMBOIRE 2","38","ECHIROLLES","Commerce"
"LOI 78","sur place","DIRECTION GENERALE DE LA GENDARMERIE NATIONALE","92","ISSY LES MOULINEAUX","Police/justice/sécurité"
"LOI 78","sur place","BRIGADE TERRITORIALE AUTONOME DE GAN
(GIPASP)","64","GAN","Police/justice/sécurité"
"LOI 78","sur place","GROUPEMENT DE GENDARMERIE NATIONALE DES PYRENEES ATLANTIQUES ","64","PAU","Police/justice/sécurité"
"LOI 78","sur place","GROUPEMENT DEPARTEMENTAL DE GENDARMERIE NATIONALE DE COLMAR
 (GIPASP)","68","COLMAR","Police/justice/sécurité"
"LOI 78","sur place","BRIGADE DE GENDARMERIE TERRITORIALE AUTONOME DE GUEBWILLER
(GIPASP) ","68","GUEBWILLER","Police/justice/sécurité"
"LOI 78","sur place","GROUPEMENT REGIONAL DE GENDARMERIE NATIONALE DE STRASBOURG 
(GIPASP)","68","STRASBOURG","Police/justice/sécurité"
"LOI 78","sur place","DIRECTION GENERALE DE LA GENDARMERIE NATIONALE","92","ISSY LES MOULINEAUX","Police/justice/sécurité"
"LOI 78","sur pièces","DIRECTION GENERALE DE LA GENDARMERIE NATIONALE","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","SLH QUALI","91","MENNECY","Commerce"
"LOI 78","sur place","DIRECTION CENTRALE DE LA SECURITE PUBLIQUE
(SERVICE CENTRAL DU RENSEIGNEMENT TERRITORIAL)","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","DIRECTION CENTRALE DE LA SECURITE PUBLIQUE
(SERVICE CENTRAL DU RENSEIGNEMENT TERRITORIAL)","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","DIRECTION DU RENSEIGNEMENT DE LA PREFECTURE DE POLICE ","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","DIRECTION DEPARTEMENTALE DE SECURITE PUBLIQUE
 (SERVICE DEPARTEMENTAL DU RENSEIGNEMENT TERRITORIAL)","77","MELUN","Police/justice/sécurité"
"LOI 78","sur place","DIRECTION DEPARTEMENTALE DE SECURITE PUBLIQUE 
(SERVICE DEPARTEMENTAL DE RENSEIGNEMENT TERRITORIAL)","95","CERGY-PONTOISE","Police/justice/sécurité"
"LOI 78","sur place","DIRECTION DEPARTEMENTALE DE SECURITE PUBLIQUE 
(SERVICE DEPARTEMENTAL DE RENSEIGNEMENT TERRITORIAL)","35","RENNES","Police/justice/sécurité"
"LOI 78","sur place","SERVICE DEPARTEMENTAL DE LA DIRECTION DU RENSEIGNEMENT DU VAL-DE-MARNE","94","CRETEIL","Police/justice/sécurité"
"LOI 78","sur place","SERVICES DES AEROPORTS DE LA DIRECTION DU RENSEIGNEMENT","93","TREMBLAY EN FRANCE","Police/justice/sécurité"
"LOI 78","sur pièces","DIRECTION GENERALE DE LA POLICE NATIONALE","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","VILLEPARISIS.FR","77","VILLEPARISIS","Collectivités locales"
"LOI 78","sur place","STEPHENSON ETUDES","75","PARIS","Economie"
"LOI 78","sur place","OPTICAL CENTER","75","PARIS","Commerce"
"LOI 78","sur place","FRANCE TELEVISIONS ","75","PARIS","Commerce"
"LOI 78","sur place","FRANCE TELEVISIONS ","92","ISSY LES MOULINEAUX","Commerce"
"LOI 78","sur place","GROUPE CANAL+","92","ISSY LES MOULINEAUX","Commerce"
"LOI 78","sur place","DEMANDER JUSTICE ","75","PARIS","Commerce"
"LOI 78","sur place","DEMANDER JUSTICE 
(Prestataire MOBILTRON)","35","ARGENTRE DU PLESSIS","Commerce"
"LOI 78","sur place","ASSOCIATION VIES DE PARIS","75","PARIS","Commerce"
"LOI 78","sur place","TF1","92","BOULOGNE-BILLANCOURT","Commerce"
"LOI 78","sur place","M6 WEB","92","NEUILLY-SUR-SEINE","Commerce"
"LOI 78","sur place","MINISTERE DE LA TRANSITION ECOLOGIQUE ET SOLIDAIRE","75","PARIS","Ministères"
"LOI 78","sur place","UNIBAIL-RODAMCO","75","PARIS","Commerce"
"LOI 78","sur place","FIDZUP","92","CLICHY","Commerce"
"LOI 78","sur place","HOP","94","RUNGIS","Transport"
"LOI 78","sur place","MEILLEURTAUX","75","PARIS","Assurances"
"LOI 78","sur place","GROUPE ALLIANZ France (ALLIANZ FRANCE/ALLIANZ VIE/ALLIANZ IARD)","67","STRASBOURG","Assurances"
"LOI 78","sur place","ALLIANZ France (ALLIANZ VIE/
ALLIANZ IARD/ALLIANZ VIE)","92","COURBEVOIE","Assurances"
"LOI 78","sur place","GROUPE ALLIANZ","67","STRASBOURG","Assurances"
"LOI 78","sur place","DATABERRIES","75","PARIS","Economie"
"LOI 78","sur place","OPENDOO","34","MONTPELLIER","Commerce"
"LOI 78","sur pièces","MONSIEUR LEFEBVRE DOMINIQUE ","75","PARIS","Commerce"
"LOI 78","sur place","VILLE DE LAVAL ","53","LAVAL","Collectivités locales"
"LOI 78","sur place","AXA","92","NANTERRE","Santé/social"
"LOI 78","sur place","AXA","94","FONTENAY-SOUS-BOIS","Santé/social"
"LOI 78","sur place","ASSOCIATION D'AIDE AUX VICTIMES - AVEDE ACJE","27","EVREUX","Santé/social"
"LOI 78","sur place","GROUPE INTERVENTION INNOVATION GII","75","PARIS","Santé/social"
"LOI 78","sur place","GROUPE INTERVENTION INNOVATION GII","75","PARIS","Santé/social"
"LOI 78","sur place","GRAND FRAIS GESTION","69","GIVORS","Commerce"
"LOI 78","sur place","COMMUNE DE CHARMES","88","CHARMES","Police/justice/sécurité"
"LOI 78","sur place","MINISTERE DE L'INTERIEUR
  - SERVICE DE L'ASILE (DGEF)","75","PARIS","Police/justice/sécurité"
"LOI 78","sur place","CD + FORMATION","33","PESSAC","Santé/social"
"LOI 78","sur place","REDMAN HOTELLERIE SUD OUEST","33","BORDEAUX","Santé/social"
"LOI 78","sur pièces","ACCOR","92","ISSY LES MOULINEAUX","Commerce"
"LOI 78","sur place","RECOMMERCE SOLUTIONS","94","GENTILLY","Commerce"
"LOI 78","sur pièces","AIR CORSICA","20","AJACCIO","Transport"
"LOI 78","sur pièces","AMERICAN EXPRESS CARTE FRANCE","95","RUEIL-MALMAISON","Commerce"
"LOI 78","sur pièces","DEVIALLET","75","PARIS","Commerce"
"LOI 78","sur pièces","FONDATION D'ENTREPRISE LOUIS VUITTON","75","PARIS","Education/culture/sport"
"LOI 78","sur place","CENTRE NATIONAL DES ŒUVRES UNIVERSITAIRES ET SCOLAIRES","92","VANVES","Commerce"
"LOI 78","sur place","FREE SAS","75","PARIS","Commerce"
"LOI 78","sur place","FREE SAS","75","PARIS","Commerce"
"LOI 78","sur pièces","AIR FRANCE","95","TREMBLAY EN France","Transport"
"LOI 78","sur pièces","HOP!","94","RUNGIS","Transport"
"LOI 78","sur pièces","TRANSAVIA FRANCE ","91","PARAY-VIEILLE-POSTE","Transport"
"LOI 78","sur pièces","CHIRISTIAN DIOR COUTURE","75","PARIS","Commerce"
"LOI 78","sur place","NESTOR","92","LEVALLOIS-PERRET","Commerce"
"LOI 78","sur place","LG ELECTRONICS FRANCE","93","VILLEPINTE","Commerce"
"LOI 78","sur place","SNCF","69","LYON","Transport"
"LOI 78","sur place","MULTI-IMPACT (AXA FRANCE VIE & AXA FRANCE IARD -ALLIANZ VIE - GENERALI VIE - SPHERIA VIE)","51","REIMS","Assurances"
"LOI 78","sur place","MULTI-IMPACT (AXA FRACE VIE & AXA FRACE IARD -ALLIANZ VIE - GENERALI VIE - SPHERIA VIE)","51","REIMS","Assurances"
"LOI 78","sur place","MAUGUIO IMMOBILIER","34","MAUGUIO","Immobilier"
"LOI 78","sur place","GEFCO","92","COURBEVOIE","Commerce"
"LOI 78","sur place","BIP INFORMATION PROFESSIONNELLE","34","SAINT-THIBERY","Commerce"
"LOI 78","sur place","SFR GROUP (Sécurité)","75","PARIS","Commerce"
"LOI 78","sur place","SFR GROUP (PA)","75","PARIS","Commerce"
"LOI 78","sur audition","FIREWORLD","75","PARIS","Commerce"
"LOI 78","sur place","SAMSUNG ELECTRONICS FRANCE","93","SAINT-OUEN","Commerce"
"LOI 78","sur place","FIRST ABU DHABI BANK","75","PARIS","Banques"
"LOI 78","sur place","BOUYGUES TELECOM S.A","92","MEUDON LA FORET","Commerce"
"LOI 78","en ligne","DIGITICK","75","PARIS","Commerce"
"LOI 78","en ligne","YATEDO.FR","75","PARIS","Commerce"
"LOI 78","en ligne","HEETCH","75","PARIS","Commerce"
"LOI 78","en ligne","AMPLEMENT","75","PARIS","Commerce"
"LOI 78","en ligne","OUICAR","75","PARIS","Commerce"
"LOI 78","en ligne","WHATSAPP","75","PARIS","Commerce"
"LOI 78","en ligne","WEB EDITIONS","75","PARIS","Commerce"
"LOI 78","en ligne","WEB EDITIONS","75","PARIS","Commerce"
"LOI 78","en ligne","WEB EDITIONS","75","PARIS","Commerce"
"LOI 78","en ligne","WEB EDITIONS","75","PARIS","Commerce"
"LOI 78","en ligne","WEB EDITIONS","75","PARIS","Commerce"
"LOI 78","en ligne","http://www.contact.le-rsi.fr/microsocial.do","75","PARIS","Santé/social"
"LOI 78","en ligne","PREMIUM94.FR","75","PARIS","Commerce"
"LOI 78","en ligne","I-QUE","75","PARIS","Commerce"
"LOI 78","en ligne","I-QUE","75","PARIS","Commerce"
"LOI 78","en ligne","MY FRIEND CAYLA","75","PARIS","Commerce"
"LOI 78","en ligne","MY FRIEND CAYLA","75","PARIS","Commerce"
"LOI 78","en ligne","PERISCOWEB.FR","75","PARIS","Collectivités locales"
"LOI 78","en ligne","VOXTUR","75","PARIS","Commerce"
"LOI 78","en ligne","darty.epticahosting.com/selfdarty/register.do","75","PARIS","Commerce"
"LOI 78","en ligne","conrad.epticahosting.com/selfconradhmcbtoc
/register.do","75","PARIS","Commerce"
"LOI 78","en ligne","BRICOMAN","75","PARIS","Commerce"
"LOI 78","en ligne","KELDOC","75","PARIS","Santé/social"
"LOI 78","en ligne","GPS SANTE","75","PARIS","Santé/social"
"LOI 78","en ligne","FRICHTI SAS","75","PARIS","Commerce"
"LOI 78","en ligne","GRAND PARC DU PUY DU FOU","75","PARIS","Commerce"
"LOI 78","en ligne","TRAITEMENTS ACCESSIBLES A PARTIR DES DOMAINES ""mlir38.org"" et ""mijir.org""","75","PARIS","Santé/social"
"LOI 78","en ligne","TREND-CORNER.COM","75","PARIS","Commerce"
"LOI 78","en ligne","GOUVERNEMENT.FR","75","PARIS","Ministères"
"LOI 78","en ligne","DIGIPOSTE","75","PARIS","Commerce"
"LOI 78","en ligne","VILLE DE CAYENNE","75","PARIS","Collectivités locales"
"LOI 78","en ligne","ADEF","75","PARIS","Immobilier"
"LOI 78","en ligne","MESOIGNER.FR","75","PARIS","Santé/social"
"LOI 78","en ligne","FÉDÉRATION EDE","75","PARIS","Santé/social"
"LOI 78","en ligne","LEGISLATIVES-CITOYENNES.FR","75","PARIS","Education/culture/sport"
"LOI 78","en ligne","AIGLE AZUR","75","PARIS","Transport"
"LOI 78","en ligne","FDSEA51.FR","75","PARIS","Commerce"
"LOI 78","en ligne","DOMIAL.FR","75","PARIS","Commerce"
"LOI 78","en ligne","http://82.127.201.246:86/CgiStart","7","PARIS","Commerce"
"LOI 78","en ligne","DEMANDERJUSTICE.COM","75","PARIS","Commerce"
"LOI 78","en ligne","LOGICIELCANTINE.FR","75","PARIS","Collectivités locales"
"LOI 78","en ligne","GRANDFRAIS.COM","75","PARIS","Commerce"
"LOI 78","en ligne","E-RAG","75","PARIS","Commerce"
"LOI 78","en ligne","SPARTOO.COM","75","PARIS","Commerce"
"LOI 78","en ligne","MAISON-ALFORT.FR","75","PARIS","Collectivités locales"
"LOI 78","en ligne","VILLEPARISIS.FR","75","PARIS","Collectivités locales"
"LOI 78","en ligne","VILLE-LAMADELEINE.FR","75","PARIS","Collectivités locales"
"LOI 78","en ligne","CONSEIL-GENERAL.COM","75","PARIS","Collectivités locales"
"LOI 78","en ligne","OPTICAL CENTER","75","PARIS","Commerce"
"LOI 78","en ligne","TCL.FR","75","PARIS","Transport"
"LOI 78","en ligne","OUIGO.COM","75","PARIS","Transport"
"LOI 78","en ligne","PFG.FR ","75","PARIS","Commerce"
"LOI 78","en ligne","GROOMLIDAYS.COM","75","PARIS","Commerce"
"LOI 78","en ligne","LISTEDENAISSANCE.FR","75","PARIS","Commerce"
"LOI 78","en ligne","FRANCE TELEVISIONS ","75","PARIS","Commerce"
"LOI 78","en ligne","CANAL +","75","PARIS","Commerce"
"LOI 78","en ligne","TF1","75","PARIS","Commerce"
"LOI 78","en ligne","COOPERATIVE U ENSEIGNE","75","PARIS","Commerce"
"LOI 78","en ligne","M6","75","PARIS","Commerce"
"LOI 78","en ligne","MONSIEUR LEFEBVRE DOMINIQUE","75","PARIS","Commerce"
"LOI 78","en ligne","COMMUNE DE LAVAL","75","PARIS","Collectivités locales"
"LOI 78","en ligne","OKAIDI","75","PARIS","Commerce"
"LOI 78","en ligne","MEDIATHEQUE DEPARTEMENTALE DE LA DROME","75","PARIS","Education/culture/sport"
"LOI 78","en ligne","GROSBILL","75","PARIS","Commerce"
"LOI 78","en ligne","ALLIANCEFR.ORG","75","PARIS","Education/culture/sport"
"VIDEOPROTECTION","sur place","SOCIETE BOULANGERIE PATISSERIE RUSSO (SPICHEREN)","57","SPICHEREN","Commerce"
